,id,last10_ratio_cleanSheets_opp,last10_ratio_cleanSheets_own,last10_ratio_wins_opp,last10_ratio_wins_own,last3_assists,last3_goals,last3_ratio_points,last3_ycards,opp_team_rank,player_name,player_opp_name,player_position,player_team,player_team_name,player_team_rank,player_value,ratio_assists,ratio_attempted_passes,ratio_big_chancesCreated,ratio_big_chancesMiss,ratio_creativity,ratio_dribbles,ratio_fouls,ratio_goals_conceded_opp_team,ratio_goals_conceded_player_team,ratio_goals_opp_team,ratio_goals_player_team,ratio_goals_scored,ratio_key_passes,ratio_leading_goal,ratio_minutes_played,ratio_offsides,ratio_open_playcross,ratio_own_goals,ratio_penalties_conceded,ratio_penalties_missed,ratio_penalties_saved,ratio_points_lastSeason,ratio_saves,ratio_selection,ratio_tackles,ratio_threat,week_no,week_points
12,83,0.3333333333,0.3333333333,0.0,0.1666666667,1,1,5.6666666667,0,19.0,Aaron_Lennon,Cardiff,MID,Burnley,Burnley,12.0,50,0.1666666667,20.0,0.0,0.1666666667,9.7333333333,0.5,1.0,1.6666666667,1.6666666667,0.5,1.1666666667,0.1666666667,0.5,0.0,90.0,0.0,0.3333333333,0.0,0.1666666667,0.0,0.0,1.7105263158,0.0,19469.0,0.6666666667,15.3333333333,7,1.0
13,83,0.1428571429,0.2857142857,0.0,0.2857142857,1,1,5.3333333333,1,18.0,Aaron_Lennon,Huddersfield,MID,Burnley,Burnley,12.0,50,0.1428571429,19.8571428571,0.0,0.1428571429,8.5571428571,0.7142857143,1.0,1.5714285714,1.5714285714,0.4285714286,1.2857142857,0.1428571429,0.4285714286,0.0,90.0,0.0,0.2857142857,0.0,0.1428571429,0.0,0.0,1.7105263158,0.0,28278.1428571429,0.7142857143,13.1428571429,8,2.0
14,199,1.0,0.0,1.0,0.0,0,0,2.0,0,1.0,Aaron_Mooy,Man City,MID,Huddersfield,Huddersfield,20.0,55,0.0,51.0,0.0,0.0,18.2,1.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9736842105,0.0,192110.0,6.0,0.0,2,0.0
15,199,0.5,0.0,0.0,0.0,0,0,1.0,0,14.0,Aaron_Mooy,Cardiff,MID,Huddersfield,Huddersfield,19.0,54,0.0,25.5,0.0,0.0,9.1,0.5,0.5,4.5,4.5,0.0,0.5,0.0,0.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9736842105,0.0,183302.5,3.0,0.0,3,3.0
16,199,0.0,0.3333333333,0.3333333333,0.0,0,0,1.6666666667,0,8.0,Aaron_Mooy,Everton,MID,Huddersfield,Huddersfield,17.0,54,0.0,31.3333333333,0.0,0.0,11.8333333333,0.3333333333,0.3333333333,3.0,3.0,2.0,0.3333333333,0.0,0.6666666667,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9736842105,0.0,172413.3333333334,2.3333333333,0.0,4,2.0
17,199,0.25,0.25,0.25,0.0,0,0,1.6666666667,0,12.0,Aaron_Mooy,Crystal Palace,MID,Huddersfield,Huddersfield,18.0,54,0.0,34.25,0.0,0.0,9.6,0.5,0.25,2.5,2.5,0.75,0.5,0.0,0.5,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9736842105,0.0,163547.0,2.5,3.75,5,2.0
18,199,0.2,0.2,0.4,0.0,0,0,2.3333333333,0,9.0,Aaron_Mooy,Leicester,MID,Huddersfield,Huddersfield,20.0,53,0.0,40.2,0.0,0.0,12.98,0.6,0.8,2.2,2.2,1.6,0.4,0.0,0.6,0.0,72.0,0.0,0.6,0.0,0.0,0.0,0.0,2.9736842105,0.0,156073.2,2.0,7.4,6,2.0
19,199,0.1666666667,0.1666666667,0.6666666667,0.0,0,0,2.0,0,4.0,Aaron_Mooy,Spurs,MID,Huddersfield,Huddersfield,20.0,53,0.0,42.8333333333,0.0,0.0,11.4,0.5,0.6666666667,2.3333333333,2.3333333333,2.0,0.5,0.0,0.5,0.0,75.0,0.0,0.5,0.0,0.0,0.0,0.0,2.9736842105,0.0,149255.1666666666,2.1666666667,6.3333333333,7,2.0
20,199,0.2857142857,0.1428571429,0.2857142857,0.0,0,0,2.0,0,12.0,Aaron_Mooy,Burnley,MID,Huddersfield,Huddersfield,18.0,53,0.0,43.1428571429,0.0,0.0,12.5714285714,0.4285714286,0.5714285714,2.2857142857,2.2857142857,1.2857142857,0.4285714286,0.0,0.5714285714,0.0,77.1428571429,0.0,0.5714285714,0.0,0.0,0.0,0.0,2.9736842105,0.0,143219.1428571429,1.8571428571,6.1428571429,8,2.0
21,14,1.0,0.0,1.0,0.0,0,0,1.0,0,3.0,Aaron_Ramsey,Chelsea,MID,Arsenal,Arsenal,17.0,75,0.0,11.0,0.0,0.0,10.8,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,3.4210526316,0.0,60423.0,2.0,9.0,2,1.0
22,14,0.0,0.0,0.0,0.0,0,0,1.0,0,20.0,Aaron_Ramsey,West Ham,MID,Arsenal,Arsenal,9.0,74,0.0,9.5,0.0,0.0,7.8,0.5,0.5,2.5,2.5,0.5,1.0,0.0,0.5,0.0,37.5,1.0,0.5,0.0,0.0,0.0,0.0,3.4210526316,0.0,63572.0,1.0,14.5,3,2.0
23,14,0.6666666667,0.0,0.0,0.3333333333,0,0,1.3333333333,0,16.0,Aaron_Ramsey,Cardiff,MID,Arsenal,Arsenal,9.0,74,0.0,26.0,0.0,0.0,15.8,1.3333333333,1.0,2.0,2.0,0.0,1.6666666667,0.0,1.0,0.0,55.0,1.0,0.3333333333,0.0,0.0,0.0,0.0,3.4210526316,0.0,61872.6666666667,1.3333333333,22.6666666667,4,2.0
24,14,0.25,0.0,0.0,0.5,0,0,1.6666666667,0,19.0,Aaron_Ramsey,Newcastle,MID,Arsenal,Arsenal,7.0,74,0.0,35.25,0.0,0.0,24.9,1.5,1.0,2.0,2.0,0.75,2.0,0.0,1.75,0.0,63.75,0.75,0.5,0.0,0.0,0.0,0.0,3.4210526316,0.0,61666.25,1.0,29.0,5,3.0
25,14,0.0,0.0,0.2,0.6,0,0,2.3333333333,0,12.0,Aaron_Ramsey,Everton,MID,Arsenal,Arsenal,6.0,74,0.0,39.2,0.0,0.0,26.28,1.4,1.0,1.8,1.8,1.6,2.0,0.0,1.8,0.0,66.8,0.6,0.6,0.0,0.0,0.0,0.0,3.4210526316,0.0,62773.0,0.8,23.6,6,9.0
26,14,0.1666666667,0.1666666667,0.6666666667,0.6666666667,2,0,4.6666666667,0,6.0,Aaron_Ramsey,Watford,MID,Arsenal,Arsenal,5.0,74,0.3333333333,37.6666666667,0.1666666667,0.0,27.7,1.1666666667,1.0,1.5,1.5,1.8333333333,2.0,0.0,1.8333333333,0.0,68.8333333333,0.5,0.6666666667,0.0,0.0,0.0,0.0,3.4210526316,0.0,63515.5,0.6666666667,21.8333333333,7,3.0
27,14,0.0,0.2857142857,0.1428571429,0.7142857143,2,0,5.0,0,17.0,Aaron_Ramsey,Fulham,MID,Arsenal,Arsenal,4.0,74,0.2857142857,35.0,0.1428571429,0.0,24.1571428571,1.0,0.8571428571,1.2857142857,1.2857142857,1.1428571429,2.0,0.0,1.5714285714,0.0,67.8571428571,0.4285714286,0.5714285714,0.0,0.0,0.0,0.0,3.4210526316,0.0,66632.1428571429,0.5714285714,19.2857142857,8,10.0
28,145,1.0,1.0,1.0,1.0,1,0,12.0,0,2.0,Aaron_Wan-Bissaka,Liverpool,DEF,Crystal Palace,Crystal Palace,10.0,41,1.0,29.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3947368421,0.0,652304.0,0.0,0.0,2,-2.0
