,assists,clean_sheets,draws,goals_against,goals_for,id,loses,own_goals,penalties_missed,penalties_saved,points,red_cards,saves,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,team_name,week_no,wins,yellow_cards,ranking
54,1,True,,0.0,1.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,3,True,1,1.0
55,0,,,1.0,0.0,3,True,0,0,0,0,0,1,1070,1040,1100,1030,Brighton,3,,1,11.0
56,0,True,True,0.0,0.0,10,,0,0,0,1,1,2,1060,1020,1020,980,Huddersfield,3,,0,19.0
57,0,True,True,0.0,0.0,5,,0,0,0,1,0,1,1070,1010,1070,1000,Cardiff,3,,1,14.0
58,2,,,1.0,2.0,18,,0,0,0,3,0,1,1190,1090,1150,1080,Watford,3,True,4,4.0
59,1,,,2.0,1.0,7,True,0,0,0,0,0,1,1100,1050,1110,1070,Crystal Palace,3,,2,10.0
60,2,True,,0.0,2.0,6,,0,0,0,3,0,1,1290,1260,1320,1300,Chelsea,4,True,2,2.0
61,0,,,2.0,0.0,2,True,0,0,0,0,0,1,1120,1080,1170,1120,Bournemouth,4,,2,6.0
62,1,,True,1.0,1.0,8,,0,0,0,1,0,1,1110,1060,1130,1060,Everton,4,,3,8.0
63,1,,True,1.0,1.0,10,,0,0,0,1,0,0,1060,1020,1020,980,Huddersfield,4,,3,17.0
64,0,,,2.0,0.0,4,True,0,0,1,0,0,1,1150,1110,1090,1040,Burnley,4,,2,19.0
65,1,True,,0.0,2.0,14,,0,1,0,3,1,1,1300,1260,1310,1280,Man Utd,4,True,3,10.0
66,1,,True,2.0,2.0,3,,0,1,0,1,0,1,1070,1040,1100,1030,Brighton,4,,3,13.0
67,1,,True,2.0,2.0,9,,0,0,1,1,0,1,1060,1010,1090,1040,Fulham,4,,3,14.0
68,1,,,1.0,2.0,18,,1,0,0,3,0,1,1190,1090,1150,1080,Watford,4,True,2,3.0
69,1,,,2.0,1.0,17,True,0,0,0,0,0,1,1300,1280,1330,1310,Spurs,4,,1,5.0
70,2,,,3.0,2.0,5,True,0,0,0,0,0,1,1070,1010,1070,1000,Cardiff,4,,3,16.0
71,3,,,2.0,3.0,1,,0,0,0,3,0,1,1280,1230,1320,1270,Arsenal,4,True,4,9.0
72,1,,,2.0,1.0,11,True,0,0,0,0,0,1,1180,1100,1140,1090,Leicester,4,,3,7.0
73,2,,,1.0,2.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,4,True,2,1.0
74,0,,,1.0,0.0,19,True,0,0,0,0,0,1,1070,1030,1110,1080,West Ham,4,,2,20.0
75,1,True,,0.0,1.0,20,,0,0,0,3,0,1,1120,1080,1090,1030,Wolves,4,True,1,11.0
76,0,,,2.0,0.0,7,True,0,0,1,0,0,1,1100,1050,1110,1070,Crystal Palace,4,,1,15.0
77,2,True,,0.0,2.0,16,,0,1,0,3,0,1,1080,1030,1120,1070,Southampton,4,True,1,12.0
78,2,,,1.0,2.0,13,,0,0,0,3,0,1,1320,1300,1350,1330,Man City,4,True,0,4.0
79,1,,,2.0,1.0,15,True,0,0,0,0,0,1,1110,1060,1090,1040,Newcastle,4,,0,18.0
80,2,,,1.0,4.0,6,,0,0,0,3,0,1,1290,1260,1320,1300,Chelsea,5,True,0,1.0
81,1,,,4.0,1.0,5,True,0,0,0,0,0,1,1070,1010,1070,1000,Cardiff,5,,0,17.0
82,2,True,,0.0,3.0,13,,0,0,0,3,0,1,1320,1300,1350,1330,Man City,5,True,0,3.0
83,0,,,3.0,0.0,9,True,0,0,0,0,0,1,1060,1010,1090,1040,Fulham,5,,0,15.0
84,1,,,3.0,1.0,8,True,0,0,0,0,0,1,1110,1060,1130,1060,Everton,5,,2,11.0
85,3,,,1.0,3.0,19,,0,0,0,3,0,1,1070,1030,1110,1080,West Ham,5,True,5,16.0
86,3,,,2.0,4.0,2,,0,0,0,3,0,1,1120,1080,1170,1120,Bournemouth,5,True,3,5.0
87,2,,,4.0,2.0,11,True,0,0,0,0,1,1,1180,1100,1140,1090,Leicester,5,,2,10.0
88,0,,True,2.0,2.0,16,,0,0,0,1,0,1,1080,1030,1120,1070,Southampton,5,,2,13.0
89,2,,True,2.0,2.0,3,,0,0,0,1,0,1,1070,1040,1100,1030,Brighton,5,,3,14.0
90,1,True,,0.0,1.0,20,,0,0,0,3,0,1,1120,1080,1090,1030,Wolves,5,True,2,9.0
91,0,,,1.0,0.0,4,True,0,0,0,0,0,1,1150,1110,1090,1040,Burnley,5,,4,20.0
92,1,,,2.0,1.0,17,True,0,0,0,0,0,1,1300,1280,1330,1310,Spurs,5,,0,6.0
93,0,,,1.0,2.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,5,True,0,2.0
94,1,,,2.0,1.0,15,True,0,0,0,0,0,0,1110,1060,1090,1040,Newcastle,5,,0,19.0
95,2,,,1.0,2.0,1,,0,0,0,3,0,1,1280,1230,1320,1270,Arsenal,5,True,0,7.0
96,0,,,1.0,0.0,10,True,0,0,0,0,0,1,1060,1020,1020,980,Huddersfield,5,,1,18.0
97,1,True,,0.0,1.0,7,,0,0,0,3,0,1,1100,1050,1110,1070,Crystal Palace,5,True,2,12.0
98,1,,,2.0,1.0,18,True,0,0,0,0,0,1,1190,1090,1150,1080,Watford,5,,2,4.0
99,2,,,1.0,2.0,14,,0,0,0,3,1,1,1300,1260,1310,1280,Man Utd,5,True,1,8.0
100,0,,,5.0,0.0,5,True,0,0,0,0,0,1,1070,1010,1070,1000,Cardiff,6,,1,19.0
